"ds","y"
"2007-12-10",0
"2007-12-11",0
"2007-12-12",0
"2007-12-13",0
"2007-12-14",0
"2007-12-15",0
"2007-12-16",1
"2007-12-17",1
"2007-12-18",1
"2007-12-19",2
"2007-12-20",2
"2007-12-21",3
"2007-12-22",3
"2007-12-23",2
"2007-12-24",3
"2007-12-25",3
"2007-12-26",3
"2007-12-27",4
"2007-12-28",4
"2007-12-29",5
"2007-12-30",5
"2007-12-31",6
"2008-01-01",6
"2008-01-02",7
"2008-01-03",6
"2008-01-04",7
"2008-01-05",7
"2008-01-06",7
"2008-01-07",8
"2008-01-08",8
"2008-01-09",8
"2008-01-10",7
"2008-01-11",8
"2008-01-12",9
"2008-01-13",9
"2008-01-14",9
"2008-01-15",10
"2008-01-16",10
"2008-01-17",10
"2008-01-18",10
"2008-01-19",10
"2008-01-20",11
"2008-01-21",10
"2008-01-22",10
"2008-01-23",10
"2008-01-24",10
"2008-01-25",10
"2008-01-26",10
"2008-01-27",9
"2008-01-28",10
"2008-01-29",10
"2008-01-30",10
"2008-02-01",10
"2008-02-02",10
"2008-02-03",10
"2008-02-04",10
"2008-02-05",10
"2008-02-06",9
"2008-02-07",9
"2008-02-08",9
"2008-02-09",8
"2008-02-10",7
"2008-02-11",8
"2008-02-12",7
"2008-02-13",7
"2008-02-14",7
"2008-02-15",7
"2008-02-16",7
"2008-02-17",7
"2008-02-18",5
"2008-02-19",5
"2008-02-20",4
"2008-02-21",4
"2008-02-22",4
"2008-02-23",4
"2008-02-24",3
"2008-02-25",3
"2008-02-26",2
"2008-02-27",2
"2008-02-29",1
"2008-03-02",1
"2008-03-05",0
"2008-03-06",0
"2008-03-07",0
"2008-03-08",0
"2008-03-09",0
"2008-03-10",0
"2008-03-11",0
"2008-03-12",0
"2008-03-13",-1
"2008-03-14",-1
"2008-03-15",-1
"2008-03-16",-2
"2008-03-17",-2
"2008-03-18",-2
"2008-03-19",-2
"2008-03-20",-2
"2008-03-21",-3
"2008-03-22",-3
"2008-03-23",-3
"2008-03-24",-3
"2008-03-25",-3
"2008-03-26",-4
"2008-03-27",-4
"2008-03-28",-4
